name,type,location,price,grade,note,chain
MEAT,Hamburguesas/Americana,,15,,12-14€,false
Jimbo Smokehouse,Hamburguesas/Americana,,15,,12-15€,false
Clandestino Burger,Hamburguesas/Americana,,15,,,false
La H es Muda,Hamburguesas/Americana,,15,,13-15€,false
La Bistroteca,Hamburguesas/Americana,,20,,18-20€,false
Bentley's Burger,Hamburguesas/Americana,,20,,14-20€,false
CRÖMIA,Hamburguesas/Americana,,15,,,false
Burnout,Hamburguesas/Americana,,10,,10-13€,false
The Irish Rover,Hamburguesas/Americana,,15,,11-15€,false
Jolliebee,Hamburguesas/Americana,,10,,Pollo,true
Big Papa,Hamburguesas/Americana,,10,,Patatas fritas,false
Bunji,Hamburguesas/Americana,,15,,,false
Leña by Dani García,Hamburguesas/Americana,,50,,Premium,false
Knight n' Squire,Hamburguesas/Americana,,20,,Primera hamburgueseria,false
Rancho de Santa Africa,Hamburguesas/Americana,,15,,,false
Mad Cafe,Hamburguesas/Americana,,15,,,false
Alright,Hamburguesas/Americana,,15,,,false
Berty's,Hamburguesas/Americana,,15,,,false
VICIO,Hamburguesas/Americana,,20,9.5,17.8€,true
Toro Burger,Hamburguesas/Americana,,15,9,12-14€,true
The Fitzgerald,Hamburguesas/Americana,,10,9.5,11€,true
Junk Burger,Hamburguesas/Americana,Chamberí,10,8.5,7-12€,false
Five Guys,Hamburguesas/Americana,,15,8.5,,true
Johnny Rockets,Hamburguesas/Americana,,15,9,,true
New York Burger,Hamburguesas/Americana,,20,9.5,,true
Goiko Grill,Hamburguesas/Americana,,15,9,,true
Pic&Nic,Hamburguesas/Americana,,15,8.5,,false
Taxi a Manhattan,Hamburguesas/Americana,,15,7.5,,false
Friday's,Hamburguesas/Americana,,20,9,,true
The Cachopu Factory,Española/Mediterránea,,10,,7€,false
D. Origen,Española/Mediterránea,C/Gaztambide 62,20,,,false
Urumea,Española/Mediterránea,,20,,Cachopo,false
Nimú,Española/Mediterránea,,25,,,false
Niquel,Española/Mediterránea,,25,,,false
En la Charca Taberna,Española/Mediterránea,,20,,Cachopo,false
La Fondue de Tell,Española/Mediterránea,,30,,Fondue,false
Cafe Melos,Española/Mediterránea,,15,,,false
Salitre,Española/Mediterránea,,20,,,false
Papúa,Española/Mediterránea,,25,,,false
Marconi,Española/Mediterránea,,25,,,false
Tanteo,Española/Mediterránea,,25,,,false
Café Santander,Española/Mediterránea,,20,,Tortilla y tarta de queso,false
Casa Carola,Española/Mediterránea,,25,,,false
La Penela Velázquez,Española/Mediterránea,,20,,Tortilla y carne asada (OCAFU),false
Bocanegra,Española/Mediterránea,,25,,,false
El Pontón,Española/Mediterránea,,15,,Tortilla,false
Bodega la Ardosa,Española/Mediterránea,Malasaña,15,,Tortilla,false
La Primera,Española/Mediterránea,,20,,,false
Rosi la Loca,Española/Mediterránea,,20,,,false
Viridiana,Española/Mediterránea,,40,,,false
La Madreña,Española/Mediterránea,,25,,,false
Pez Tortilla,Española/Mediterránea,,15,,,true
Casa Dani,Española/Mediterránea,Mercado de la Paz,15,,Tortilla de patata,false
Los Huevos de Lucio,Española/Mediterránea,,25,,,false
La Bienquerida,Española/Mediterránea,,20,,,false
El Jefe Traveling Food,Española/Mediterránea,,15,,,false
Cuatro de Ocho,Española/Mediterránea,,30,,,false
Makkila,Española/Mediterránea,,30,,,false
Hakuna Patata,Española/Mediterránea,,10,,Domicilio,false
Perretxico,Española/Mediterránea,,20,,,false
Tal Cual,Española/Mediterránea,,20,,,false
Camino,Española/Mediterránea,,20,,,false
Santerra,Española/Mediterránea,,20,,Croquetas,false
Zalamero,Española/Mediterránea,,15,,Croquetas,false
Casa Mortero,Española/Mediterránea,,15,,Croquetas,false
Colósimo,Española/Mediterránea,,20,,Croquetas,false
Sylkar,Española/Mediterránea,,15,,Tortilla,false
Diurno,Española/Mediterránea,,25,,,false
Marte,Española/Mediterránea,,25,,,false
La Pepa,Española/Mediterránea,,15,,Tortilla,false
Cañadío,Española/Mediterránea,,25,,Tortilla,false
Los Ochoa,Española/Mediterránea,,20,,,false
El Columpio,Española/Mediterránea,,25,,,false
Morgana,Española/Mediterránea,,25,,,false
El Bareto,Española/Mediterránea,,20,,,false
Jaleito,Española/Mediterránea,,20,,,false
Maracca,Española/Mediterránea,,20,,,false
La Valentina,Española/Mediterránea,,20,,,false
La Redonda,Española/Mediterránea,Pozuelo,25,,,false
Couzapín,Española/Mediterránea,Retiro,25,10,Asturiano - Cachopo,false
Perrachica,Española/Mediterránea,,25,8,,true
Habanera,Española/Mediterránea,,30,8.5,,true
Txirimiri,Española/Mediterránea,La Latina,20,9,Tortilla,false
La Maruca,Española/Mediterránea,,25,10,,true
La Bientirada,Española/Mediterránea,Chamberí,20,9,,false
OCAFÚ,Española/Mediterránea,Salamanca,25,10,,false
Saona,Española/Mediterránea,,20,9.5,,true
El Pimiento Verde,Española/Mediterránea,Salamanca,25,8.5,,false
Lobito de Mar,Española/Mediterránea,Salamanca,40,8.5,Premium,false
Roostiq,Española/Mediterránea,Chueca,35,10,Premium,false
Tandoori Station,Indio,,15,,,false
SAGAR,Indio,,15,,,false
Mughul,Indio,,20,,,false
Curry Masala,Indio,,15,,,false
Purnima,Indio,,15,,,false
Anapurna,Indio,,20,,,false
Dolí,Indio,,15,,,false
Taj Mahal,Indio,Plaza de España,20,8,,false
Igo Ramen,Asiático,,15,,,false
Ra-men Kagura,Asiático,,15,,,false
Ramen Shifu,Asiático,,15,,,false
BiangBiang Bar,Asiático,,15,,,false
Lou's Hotpot,Asiático,,25,,,false
Gyoza Go,Asiático,,15,,,false
Bao,Asiático,,15,,,false
Torikey,Asiático,,20,,,false
Zen Market,Asiático,,15,,,false
Maki,Asiático,,20,,,false
Miss Sushi,Asiático,,20,,,true
Tuktuk,Asiático,,20,,,false
Gayagum,Asiático,,20,,Comida coreana,false
Casa Bulgogi,Asiático,,20,,Comida coreana,false
Thai Orchid,Asiático,,25,,Comida thai,false
Krachai Cuisine,Asiático,,25,,Comida thai,false
Macao,Asiático,,25,,Fusión,false
Running Sushi,Asiático,,20,,,false
Sushi Shop,Asiático,,25,,,true
Konnichiwa,Asiático,,20,,,false
La Monarracha,Asiático,,20,,,false
Sushiwakka,Asiático,,30,,,false
Maitake,Asiático,,25,,,false
Art & Sushi,Asiático,,25,,,false
Hong Kong,Asiático,,15,,,false
Don Lay,Asiático,,15,,,false
Yatai Market,Asiático,,20,,,false
Soy Sohho,Asiático,C/Ayala 87,20,,,false
Mavera Restaurante,Asiático,,20,,Comida turca,false
Amazonica Chic,Asiático,,35,7.5,,false
Monsieur Sushita,Asiático,,30,9,,true
Madame Sushita,Asiático,,35,10,,true
99 Sushi Bar,Asiático,,50,9,Premium,true
Sumo,Asiático,,25,8.5,,true
La Fonda,Sudamericano,,20,,,false
Pollo y Carbón,Sudamericano,,15,,Comida peruana,false
Magasand,Desayuno/Merienda,,15,,,false
Dottys Rolls,Desayuno/Merienda,,10,,,false
Mazál Bagels & Cafe,Desayuno/Merienda,,15,,,false
La Rollerie,Desayuno/Merienda,,15,,,true
La Mejor Tarta de Chocolate del Mundo,Desayuno/Merienda,,15,,,false
Bô Speciality Coffee,Desayuno/Merienda,,10,,,false
Churrería Manosanta,Desayuno/Merienda,,10,,,false
Maison Palmiers,Desayuno/Merienda,,10,,Palmeritas,false
EatMyTrip,Desayuno/Merienda,,20,,Brunch,false
Good Coffee,Desayuno/Merienda,,10,,,false
Igo Coffee,Desayuno/Merienda,,10,,,false
Cristina Oria,Desayuno/Merienda,,20,,,false
Hanso Café,Desayuno/Merienda,,15,,,false
Zafyro,Desayuno/Merienda,,15,,,false
Agrado Café,Desayuno/Merienda,,15,,,false
Rawcoco,Desayuno/Merienda,,15,,,false
Malvy's Shakes,Desayuno/Merienda,,10,,,false
N2 Lab,Desayuno/Merienda,,10,,Heladería,false
Rolirolls,Desayuno/Merienda,,10,,Rollitos de canela,false
Religion Speciality Coffee,Desayuno/Merienda,,10,,,false
Guilty Cookie Shop,Desayuno/Merienda,,10,,,false
Zenith,Desayuno/Merienda,,20,,Brunch,false
Coco Mocca,Desayuno/Merienda,,15,,,false
La Gringa,Desayuno/Merienda,,20,,Brunch,false
Del Cielo Cookies,Desayuno/Merienda,,10,,,false
Sufu Cake,Desayuno/Merienda,,15,,,false
Le Pain Quotidien,Desayuno/Merienda,,20,,,true
Mistura,Desayuno/Merienda,,15,,,false
Monkee Koffee,Desayuno/Merienda,,15,,,false
Salón des Fleurs,Desayuno/Merienda,,20,,,false
La Florería,Desayuno/Merienda,,20,,Brunch,false
The Toast Cafe,Desayuno/Merienda,,15,,Brunch,false
Mimis Creperie,Desayuno/Merienda,,15,,,false
Dulce Hogar,Desayuno/Merienda,Móstoles,15,,,false
Delish Vegan Doughnuts,Desayuno/Merienda,,10,2,,false
Mamma Framboise,Desayuno/Merienda,,15,9,,true
CookieLab,Desayuno/Merienda,,10,8.5,,false
Faborit,Para Comer,,20,,,true
Red Bar,Para Comer,,20,,24h - Todo tipo de comida,false
Avocado Show,Para Comer,,20,,,false
La Desayuneria,Para Comer,,15,,,false
Mooser,Para Comer,,30,,Fondue,false
El Gordo,Para Comer,,40,,Premium,false
El Imparcial,Para Comer,,25,,,false
80º,Para Comer,Malasaña,30,10,,false
Crepes & Waffles,Para Comer,,15,10,,true
La Mucca,Para Comer,,20,8,,true
Casa a la Malicia,Para Cenar,,25,,,false
Marieta,Para Cenar,,35,10,De moda,true
Café de Paris,Para Cenar,,30,,De moda,false
Mediavuelta,Premium,,40,,Rooftop,false
Inclan,Premium,,20,,15-20€,false
ZEST,Healthy,,20,,,false
Tasty Poke,Healthy,,15,,,true
Urban Poke Bar,Healthy,,15,,,false
Aloha Poké,Healthy,,15,,,true
Honest Greens,Healthy,,20,,,true
Fismuler,Cheesecake,Almagro,30,10,Tarta de queso,false
Mis Tartas de Queso,Cheesecake,,15,,,false
Luna & Wanda,Cheesecake,,20,,,false
Mercado de Ibiza,Cheesecake,,20,,,false
Alex Cordobés,Cheesecake,,15,,,false
Cheescake Avenue,Cheesecake,,15,,,false
Restaurante Gigi,Cheesecake,,25,,,false
Penthouse Hotel ME Madrid,Mercados/Terrazas,,30,,,false
Room Mate Don Oscar,Mercados/Terrazas,,25,,,false
Mercado de San Miguel,Mercados/Terrazas,Plaza Mayor,25,8,,false
Mercado de San Antón,Mercados/Terrazas,Chueca,20,8,,false
Mercado de San Ildefonso,Mercados/Terrazas,Malasaña,20,8,,false
Public,Barato,,10,,,false
Bazaar,Barato,,15,,,false
Panther,Barato,,10,9,,false
